Rank,Host,Port,TLS,Transport,Latency Avg,Speed Mbps,Status,Error
847,199.232.78.160,443,tls,ws,1.6314983367919922,0.0,FAILED,Latency test failed
848,151.101.194.133,443,tls,ws,1.6334056854248047,0.0,FAILED,Latency test failed
849,151.101.194.219,80,none,xhttp,1.6360282897949219,0.0,FAILED,Latency test failed
850,151.101.1.57,80,none,xhttp,1.6560554504394531,0.0,FAILED,Latency test failed
851,199.232.78.159,443,tls,ws,1.6565322875976562,0.0,FAILED,Latency test failed
852,140.248.159.164,80,none,ws,1.6658306121826172,0.0,FAILED,Latency test failed
853,151.101.130.133,80,none,xhttp,1.6672611236572266,0.0,FAILED,Latency test failed
854,151.101.64.155,80,none,tcp,1.6713142395019531,0.0,FAILED,Latency test failed
855,151.101.109.223,443,tls,xhttp,1.6751289367675781,0.0,FAILED,Latency test failed
856,199.232.78.160,443,tls,ws,1.6856193542480469,0.0,FAILED,Latency test failed
857,151.101.130.133,80,none,xhttp,1.6922950744628906,0.0,FAILED,Latency test failed
858,151.101.129.57,80,none,xhttp,1.7082691192626953,0.0,FAILED,Latency test failed
859,199.232.78.159,443,tls,ws,1.711130142211914,0.0,FAILED,Latency test failed
860,69.84.182.152,443,tls,ws,1.7125606536865234,0.0,FAILED,Latency test failed
861,199.232.78.159,443,tls,ws,1.714468002319336,0.0,FAILED,Latency test failed
862,199.232.78.159,443,tls,ws,1.7216205596923828,0.0,FAILED,Latency test failed
863,151.101.193.57,80,none,xhttp,1.7216205596923828,0.0,FAILED,Latency test failed
864,172.66.47.69,443,tls,ws,1.7244815826416016,0.0,FAILED,Latency test failed
865,151.101.66.219,443,tls,ws,1.7282962799072266,0.0,FAILED,Latency test failed
866,199.232.197.131,80,none,ws,1.7287731170654297,0.0,FAILED,Latency test failed
867,151.101.109.223,443,tls,xhttp,1.730203628540039,0.0,FAILED,Latency test failed
868,151.101.129.57,80,none,xhttp,1.7304420471191406,0.0,FAILED,Latency test failed
869,151.101.65.57,80,none,xhttp,1.7321109771728516,0.0,FAILED,Latency test failed
870,172.64.152.23,443,tls,ws,1.7397403717041016,0.0,FAILED,Latency test failed
871,199.232.78.159,443,tls,ws,1.743316650390625,0.0,FAILED,Latency test failed
872,140.248.187.74,80,none,ws,1.748800277709961,0.0,FAILED,Latency test failed
873,199.232.78.159,443,tls,ws,1.7507076263427734,0.0,FAILED,Latency test failed
874,151.101.193.57,80,none,xhttp,1.7518997192382812,0.0,FAILED,Latency test failed
875,104.18.32.47,443,tls,ws,1.7578601837158203,0.0,FAILED,Latency test failed
876,199.232.78.160,443,tls,ws,1.7590522766113281,0.0,FAILED,Latency test failed
877,151.101.65.57,80,none,xhttp,1.7609596252441406,0.0,FAILED,Latency test failed
878,151.101.194.219,80,none,xhttp,1.7619132995605469,0.0,FAILED,Latency test failed
879,188.114.97.6,443,none,tcp,1.7709732055664062,0.0,FAILED,Latency test failed
880,45.130.125.194,8443,tls,xhttp,1.7743110656738281,0.0,FAILED,Latency test failed
881,45.130.125.162,8443,tls,xhttp,1.7766952514648438,0.0,FAILED,Latency test failed
